day,hour,time_period,predicted_engagement,predicted_likes,predicted_retweets
Tuesday,0,night,202.65072655494566,61.87047763347764,183.16240007215004
Monday,23,night,201.5270595238094,55.45431349206352,255.72775000000001
Saturday,5,night,201.3879052821818,173.10906831713214,69.48091465182563
Thursday,16,afternoon,200.78202770810447,153.6941809684882,48.932958084744726
Monday,9,morning,198.18000905790953,286.1931312604554,58.08472718253968
Sunday,5,night,195.6516422069994,180.3132320170729,61.29646101774042
Thursday,5,night,195.0481203537024,163.7541322757016,88.76697681961609
Wednesday,5,night,194.73887598726535,181.09905871503514,50.85861198931785
Wednesday,0,night,193.8966886761578,107.49445230880232,132.38981746031743
Wednesday,20,evening,193.71136504705416,145.61850297899784,53.79012918918472
Friday,17,evening,189.36461062402097,168.61043083662355,62.97509137411062
Thursday,11,morning,188.32357857531076,136.7744823722295,102.17274027486526
Monday,10,morning,188.18410088020718,274.4068678675982,27.01590972222222
Wednesday,11,morning,186.44651248567385,133.19400028665305,118.02934899264774
Thursday,19,evening,185.9632463986825,159.27752377123025,75.00101884003344
Monday,21,night,185.28739542337604,104.54248889918368,150.840022005772
Thursday,12,afternoon,184.82839407743668,166.84819997412905,72.21463446093065
Saturday,8,morning,184.3167211719693,172.1531686754814,48.42518816368449
Monday,2,night,183.8018964646465,153.87332142857144,77.98456709956709
Thursday,22,night,183.79040797380026,138.25843956411143,100.7931724377155
Thursday,13,afternoon,183.54124271341036,155.80188648378746,38.43840719654152
Saturday,15,afternoon,182.62174947519176,180.70356425103947,42.13175336266372
Thursday,14,afternoon,181.82660153298914,136.64454112373684,68.80067173459953
Sunday,7,morning,181.76821838798068,153.10242644878497,63.08047310020385
Thursday,20,evening,181.08065377128062,168.50711844715204,63.95098728923511
Friday,15,afternoon,180.82387767485892,156.24097852980378,44.571444382696384
Saturday,4,night,180.17265281403917,199.307664949641,17.863974163349553
Saturday,9,morning,178.4076264523257,145.4871547112558,53.1884103859067
Friday,9,morning,176.06002691322357,146.89466329588944,81.5272127666737
Tuesday,4,night,176.02867217757296,84.74704627244007,153.8485830903964
Saturday,19,evening,175.6038943730894,113.05479590288911,176.6962710497234
Friday,16,afternoon,174.42186098039178,130.61329184486252,89.7804914451998
Saturday,11,morning,174.26076984948327,128.41347047877383,94.64083217716762
Monday,8,morning,174.19518272123452,200.17400968758378,41.911767947330446
Wednesday,12,afternoon,173.2358590312923,155.52945829999814,78.3384145067763
Saturday,17,evening,173.0562911616185,140.18035425865995,95.56996392833173
Saturday,10,morning,171.10627062009004,142.686180864806,53.5139067784031
Wednesday,21,night,169.59948786633348,110.9782979729709,90.24738559287627
Monday,6,morning,169.54247276992012,82.21893914711019,183.82905014430014
Friday,3,night,168.91285315289704,101.01593317085883,112.43400455979014
Wednesday,9,morning,168.7335370476199,157.80593881019303,41.12269692330714
Thursday,10,morning,168.34914566983488,136.2846614037375,49.831180782521294
Saturday,16,afternoon,167.9554578954529,124.5636500316194,95.28149115714047
Sunday,20,evening,167.82280994991766,128.8996038209441,89.79293822751627
Wednesday,13,afternoon,166.43021638227464,132.27407331967197,112.31915370262946
Tuesday,11,morning,165.11146307402373,127.8196360365477,114.61845040073446
Sunday,23,night,163.5847658730159,139.4253441558442,34.68825541125541
Thursday,23,night,163.19759243779384,148.34675531213918,24.620027056277053
Wednesday,3,night,163.16742314789516,152.1031600007145,39.47254403226782
Saturday,13,afternoon,160.86473007445787,78.83960104320745,178.749845521322
Friday,14,afternoon,160.78549618000665,166.52412302247367,34.808553009866685
Tuesday,12,afternoon,159.4127910322497,156.813589290126,61.706401646847944
Friday,8,morning,159.22296115661436,138.94910577260148,66.75462547146797
Saturday,12,afternoon,158.5874603346779,125.35631775091915,79.35352594255257
Saturday,14,afternoon,157.4097035147023,153.92029368641448,60.71091961970416
Friday,10,morning,156.87308433653317,153.4322310185432,52.937734300403115
Sunday,13,afternoon,156.1992865061504,155.31217932843572,92.24837143739931
Tuesday,9,morning,155.9322189087584,160.06553324627134,28.270218032263532
Wednesday,10,morning,154.8625444442813,139.4704986674082,43.76591251665
Thursday,7,morning,153.44280348017736,82.65375448206478,86.08691138529143
Tuesday,21,night,152.98570124613104,73.98393320877132,115.22779262645568
Monday,7,morning,151.6167200695071,129.29639262409174,59.3752728174603
Tuesday,22,night,150.94576009485317,136.00270622377278,34.191310747223795
Friday,5,night,150.41195912529363,78.4426529810665,107.56065863860371
Thursday,8,morning,150.36158111920153,110.21326977849125,56.47899455829659
